order_id,order_date,customer_id,product_id,quantity,unit_price,order_value
1,2025-04-06,99,42,12,45.18,542.16
2,2025-05-14,8,27,17,101.8,1730.6
3,2025-02-17,64,26,16,62.71,1003.36
4,2025-04-07,27,3,11,51.44,565.84
5,2025-06-09,61,38,2,90.3,180.6
6,2025-10-26,25,7,17,61.04,1037.68
7,2025-10-31,99,44,10,50.09,500.9
8,2025-10-25,19,22,4,109.61,438.44
9,2025-07-01,15,48,12,70.27,843.24
10,2025-02-19,18,4,19,70.86,1346.34
11,2025-03-10,38,30,4,71.07,284.28
12,2025-03-01,51,3,1,51.44,51.44
13,2025-05-20,64,13,12,112.97,1355.64
14,2025-02-20,39,16,13,107.15,1392.95
15,2025-01-10,12,14,2,100.81,201.62
16,2025-07-07,12,43,3,69.72,209.16
17,2025-02-27,43,31,1,61.74,61.74
18,2025-07-15,16,50,4,47.86,191.44
19,2025-10-27,67,48,13,70.27,913.51
20,2025-04-29,59,19,11,109.26,1201.86
21,2025-01-28,1,24,18,31.01,558.18
22,2025-06-11,29,16,12,107.15,1285.8
23,2025-01-03,37,3,16,51.44,823.04
24,2025-09-22,6,16,9,107.15,964.35
25,2025-03-05,7,1,11,23.14,254.54
26,2025-11-01,77,43,10,69.72,697.2
27,2025-12-26,32,16,20,107.15,2143.0
28,2025-02-10,38,27,6,101.8,610.8
29,2025-02-27,13,12,5,36.12,180.6
30,2025-06-22,65,43,2,69.72,139.44
31,2025-10-13,73,49,1,25.15,25.15
32,2025-05-03,92,30,2,71.07,142.14
33,2025-01-31,53,41,11,116.24,1278.64
34,2025-03-16,81,1,10,23.14,231.4
35,2025-12-09,8,11,12,48.98,587.76
36,2025-07-02,56,44,2,50.09,100.18
37,2025-05-05,41,25,17,42.79,727.43
38,2025-12-05,66,11,12,48.98,587.76
39,2025-06-05,34,33,20,31.99,639.8
40,2025-05-08,61,45,12,48.48,581.76
41,2025-04-07,50,27,13,101.8,1323.4
42,2025-01-13,39,45,18,48.48,872.64
43,2025-08-22,24,11,13,48.98,636.74
44,2025-11-14,31,13,13,112.97,1468.61
45,2025-03-17,78,7,11,61.04,671.44
46,2025-07-31,40,26,6,62.71,376.26
47,2025-07-15,46,22,9,109.61,986.49
48,2025-09-15,51,47,2,80.96,161.92
49,2025-06-29,96,1,8,23.14,185.12
50,2025-07-04,86,9,4,42.88,171.52
51,2025-03-22,34,28,3,106.07,318.21
52,2025-03-14,16,11,18,48.98,881.64
53,2025-11-16,16,34,17,53.76,913.92
54,2025-11-26,77,27,4,101.8,407.2
55,2025-02-13,14,44,3,50.09,150.27
56,2025-01-03,86,6,8,44.93,359.44
57,2025-05-24,21,27,2,101.8,203.6
58,2025-07-31,13,36,15,52.32,784.8
59,2025-09-28,16,48,7,70.27,491.89
60,2025-08-07,94,28,20,106.07,2121.4
61,2025-02-06,78,10,6,27.7,166.2
62,2025-09-11,54,42,20,45.18,903.6
63,2025-01-26,90,2,13,83.64,1087.32
64,2025-06-29,21,40,13,117.18,1523.34
65,2025-08-17,71,13,2,112.97,225.94
66,2025-04-14,66,44,1,50.09,50.09
67,2025-07-17,12,12,8,36.12,288.96
68,2025-11-13,74,22,17,109.61,1863.37
69,2025-03-18,18,14,15,100.81,1512.15
70,2025-03-01,27,18,11,38.66,425.26
71,2025-08-28,76,5,14,110.76,1550.64
72,2025-12-22,50,31,1,61.74,61.74
73,2025-09-17,19,15,4,83.34,333.36
74,2025-06-04,34,18,10,38.66,386.6
75,2025-01-22,79,21,6,100.74,604.44
76,2025-10-03,67,9,11,42.88,471.68
77,2025-09-01,30,9,14,42.88,600.32
78,2025-04-20,60,39,13,56.36,732.68
79,2025-03-16,38,38,9,90.3,812.7
80,2025-08-29,21,14,12,100.81,1209.72
